Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,139.789993,141.100006,139.259995,141.089996,125.942917,10803700
2020-01-03,137.500000,139.229996,137.080002,138.339996,124.280899,10386800
2020-01-06,136.559998,138.270004,136.500000,138.229996,124.182076,10259000
2020-01-07,137.279999,137.860001,135.820007,135.880005,122.070923,10531300
2020-01-08,135.699997,137.580002,135.600006,136.940002,123.023193,9695300
2020-01-09,138.050003,138.229996,137.039993,137.440002,123.472389,9469000
2020-01-10,137.210007,137.250000,135.809998,136.070007,122.241600,10190900
2020-01-13,136.190002,137.199997,135.759995,137.199997,123.256767,12355200
2020-01-14,137.940002,140.759995,137.690002,138.800003,124.694153,24906000
2020-01-15,137.850006,138.600006,136.149994,136.720001,122.825546,16293400
2020-01-16,137.449997,137.899994,136.839996,137.250000,123.301659,10783800
2020-01-17,137.539993,138.289993,137.320007,138.199997,124.155128,14697700
2020-01-21,137.190002,138.070007,136.690002,136.839996,122.933342,8474200
2020-01-22,137.240005,137.399994,136.380005,136.679993,122.789604,7549100
2020-01-23,135.710007,136.740005,134.720001,136.539993,122.663826,9345700
2020-01-24,136.369995,136.429993,132.320007,133.149994,119.618347,15166400
2020-01-27,130.270004,132.940002,129.710007,132.029999,118.612160,12860500
2020-01-28,132.839996,134.970001,132.479996,134.429993,120.768265,13062800
2020-01-29,134.809998,135.539993,133.690002,134.229996,120.588577,9326000
2020-01-30,132.690002,136.130005,132.690002,135.889999,122.079887,9048900
2020-01-31,134.490005,134.830002,131.470001,132.360001,118.908615,12785200
2020-02-03,132.660004,134.240005,132.660004,133.369995,119.815964,10021100
2020-02-04,135.550003,136.600006,135.080002,135.289993,121.540863,9157100
2020-02-05,136.570007,137.729996,136.009995,137.589996,123.607132,10150700
2020-02-06,138.240005,138.289993,137.110001,137.610001,123.625099,8992300
2020-02-07,136.729996,137.669998,136.300003,137.169998,123.229813,6379800
2020-02-10,136.949997,137.850006,136.750000,137.740005,123.741882,5960700
2020-02-11,138.259995,138.820007,137.779999,138.000000,123.975464,6578600
2020-02-12,138.600006,139.289993,137.800003,138.000000,123.975464,7958000
2020-02-13,137.750000,138.339996,136.399994,137.880005,123.867645,7447500
2020-02-14,137.839996,138.190002,136.940002,137.460007,123.490326,6627600
2020-02-18,137.339996,137.710007,135.050003,135.639999,121.855293,8996400
2020-02-19,136.910004,138.389999,136.339996,137.490005,123.517288,7071200
2020-02-20,137.169998,138.360001,136.529999,137.490005,123.517288,7422800
2020-02-21,136.550003,136.919998,134.919998,135.809998,122.008034,9772800
2020-02-24,131.440002,133.199997,130.800003,132.160004,118.728951,13618400
2020-02-25,131.000000,132.229996,125.589996,126.260002,113.428566,20797200
2020-02-26,126.930000,128.949997,126.339996,126.639999,113.769943,24825600
2020-02-27,122.910004,125.620003,121.300003,121.370003,109.035515,23005500
2020-02-28,117.519997,118.489998,112.660004,116.110001,104.310081,45931400
2020-03-02,116.629997,121.580002,114.459999,121.519997,109.170265,27355400
2020-03-03,120.970001,122.949997,116.239998,116.959999,105.073700,32547700
2020-03-04,118.330002,120.190002,114.699997,119.849998,107.669991,25795900
2020-03-05,115.669998,116.430000,112.580002,113.970001,102.387566,25025600
2020-03-06,106.260002,110.320000,105.019997,108.080002,97.096146,38159400
2020-03-09,96.570000,99.230003,93.000000,93.440002,83.943954,40352000
2020-03-10,99.000000,101.279999,94.580002,100.699997,90.466141,31102700
2020-03-11,97.699997,100.050003,94.550003,95.959999,86.207855,38127000
2020-03-12,89.589996,96.959999,86.320000,88.050003,79.101730,49725200
2020-03-13,95.989998,103.989998,92.000000,103.910004,93.349937,38543300
2020-03-16,85.199997,93.980003,84.550003,88.360001,79.380241,38589700
2020-03-17,90.889999,97.440002,87.500000,93.760002,84.231461,35239800
2020-03-18,87.669998,90.790001,80.360001,83.889999,75.364510,41525600
2020-03-19,81.559998,88.110001,76.910004,85.300003,76.631218,32175100
2020-03-20,86.300003,89.459999,82.480003,83.500000,75.014137,30150800
2020-03-23,82.680000,83.750000,78.089996,79.029999,70.998413,32536600
2020-03-24,84.900002,90.099998,82.900002,88.430000,79.443108,34363200
2020-03-25,89.239998,95.150002,84.540001,91.730003,82.407745,38111700
2020-03-26,94.080002,98.570000,93.540001,98.120003,88.148354,29826300
2020-03-27,93.190002,94.839996,90.550003,91.129997,81.868706,30041500
2020-03-30,90.650002,94.089996,89.300003,93.500000,83.997856,21656900
2020-03-31,92.050003,94.169998,89.339996,90.029999,80.880508,23379300
2020-04-01,85.099998,86.559998,83.250000,84.360001,75.786728,28029600
2020-04-02,83.510002,87.910004,82.959999,87.510002,78.616623,24018000
2020-04-03,86.000000,87.480003,82.769997,84.050003,76.292877,21199400
2020-04-06,88.989998,90.989998,87.699997,89.459999,81.203590,26820800
2020-04-07,94.449997,94.500000,90.379997,90.639999,82.274673,22563800
2020-04-08,92.099998,94.860001,90.550003,94.300003,85.596886,22903300
2020-04-09,96.919998,104.389999,96.889999,102.760002,93.276100,42055900
2020-04-13,103.110001,103.110001,97.300003,98.190002,89.127876,26911900
2020-04-14,101.019997,102.000000,93.639999,95.500000,86.686142,46151300
2020-04-15,91.150002,92.029999,90.129997,90.790001,82.410820,30118600
2020-04-16,90.230003,90.570000,87.050003,87.330002,79.270187,32449600
2020-04-17,92.000000,95.699997,90.959999,95.180000,86.395683,30191900
2020-04-20,92.470001,94.709999,90.459999,91.709999,83.245911,23679400
2020-04-21,88.620003,91.379997,88.330002,89.050003,80.831413,23035000
2020-04-22,90.690002,91.870003,89.180000,89.339996,81.094643,16662400
2020-04-23,89.739998,91.279999,89.260002,89.389999,81.140038,16638800
2020-04-24,90.639999,91.099998,88.489998,90.709999,82.338211,15809200
2020-04-27,91.940002,95.629997,91.540001,94.620003,85.887352,22870200
2020-04-28,97.809998,98.360001,95.029999,95.290001,86.495514,20238900
2020-04-29,99.080002,99.449997,97.269997,97.860001,88.828323,20462600
2020-04-30,95.599998,96.839996,94.550003,95.760002,86.922134,19127600
2020-05-01,93.500000,93.739998,91.839996,93.250000,84.643784,18547700
2020-05-04,92.019997,92.669998,90.800003,92.139999,83.636223,15725900
2020-05-05,93.650002,94.209999,91.900002,92.000000,83.509155,18064100
2020-05-06,92.160004,92.760002,89.930000,90.269997,81.938828,20978000
2020-05-07,91.339996,92.910004,90.580002,91.209999,82.792068,16771900
2020-05-08,92.800003,94.080002,92.110001,92.699997,84.144554,20487800
2020-05-11,91.110001,91.110001,89.330002,89.970001,81.666512,31907600
2020-05-12,90.150002,90.790001,86.900002,87.029999,78.997841,27962900
2020-05-13,86.379997,86.860001,83.400002,84.029999,76.274727,35451600
2020-05-14,82.720001,88.110001,82.400002,87.519997,79.442627,35152500
2020-05-15,86.849998,87.279999,85.300003,85.900002,77.972130,26099000
2020-05-18,88.690002,91.150002,87.879997,90.449997,82.102203,30504400
2020-05-19,90.050003,91.199997,88.589996,88.669998,80.486481,19597300
2020-05-20,90.709999,92.389999,90.370003,91.330002,82.901001,20552400
2020-05-21,90.269997,91.760002,89.669998,90.169998,81.848045,14621400
2020-05-22,90.010002,90.360001,88.720001,89.470001,81.212654,13557900
2020-05-26,92.889999,97.500000,92.610001,95.820000,86.976608,41233900
2020-05-27,102.070000,102.580002,98.800003,101.370003,92.014374,39402000
2020-05-28,102.940002,102.949997,99.400002,99.860001,90.643753,24713900
2020-05-29,98.660004,99.180000,96.779999,97.309998,88.329079,26526400
2020-06-01,97.750000,99.510002,97.379997,98.599998,89.500031,15176800
2020-06-02,100.279999,100.419998,97.930000,98.930000,89.799583,21195000
2020-06-03,101.580002,104.919998,101.059998,104.269997,94.646721,25941100
2020-06-04,103.820000,106.610001,102.790001,106.440002,96.616470,26784700
2020-06-05,114.930000,115.769997,109.529999,111.230003,100.964401,42231000
2020-06-08,113.410004,114.190002,111.940002,113.449997,102.979492,24881800
2020-06-09,110.650002,111.629997,109.010002,110.540001,100.338066,17031100
2020-06-10,110.459999,110.510002,105.849998,106.059998,96.271538,24913300
2020-06-11,100.029999,101.580002,96.540001,97.209999,88.238319,36259200
2020-06-12,100.709999,101.129997,97.330002,99.870003,90.652824,24856800
2020-06-15,96.419998,101.430000,95.870003,101.250000,91.905472,22153600
2020-06-16,105.370003,105.680000,99.309998,102.059998,92.640701,22193600
2020-06-17,102.529999,102.540001,99.209999,99.480003,90.298820,15639800
2020-06-18,98.669998,100.519997,98.129997,98.940002,89.808655,16591900
2020-06-19,100.529999,100.599998,96.730003,97.809998,88.782928,40371200
2020-06-22,97.250000,97.949997,96.540001,96.750000,87.820770,16216900
2020-06-23,98.970001,99.970001,97.849998,97.930000,88.891876,15381400
2020-06-24,96.750000,96.839996,94.309998,94.660004,85.923660,22919800
2020-06-25,94.349998,98.209999,94.260002,97.959999,88.919098,25743600
2020-06-26,95.110001,95.370003,92.000000,92.589996,84.044716,41896300
2020-06-29,93.400002,94.489998,92.180000,93.000000,84.416870,18499700
2020-06-30,92.830002,94.660004,92.570000,94.059998,85.379028,19137000
2020-07-01,94.889999,95.709999,93.029999,93.260002,84.652870,18755700
2020-07-02,94.739998,94.959999,91.930000,92.660004,84.927834,27845600
2020-07-06,94.430000,95.199997,93.480003,95.000000,87.072563,18625300
2020-07-07,93.820000,94.099998,92.000000,92.320000,84.616219,25757200
2020-07-08,92.290001,93.339996,91.800003,93.300003,85.514442,18762200
2020-07-09,93.519997,94.120003,90.779999,91.279999,83.663010,25600800
2020-07-10,92.000000,96.839996,91.870003,96.269997,88.236588,28954200
2020-07-13,98.730003,99.269997,96.230003,97.650002,89.501434,32079200
2020-07-14,98.370003,99.949997,96.639999,98.209999,90.014709,42731700
2020-07-15,100.889999,101.290001,98.650002,99.730003,91.407875,22508400
2020-07-16,98.779999,101.220001,98.550003,100.010002,91.664505,16886900
2020-07-17,100.000000,100.080002,98.139999,98.160004,89.968887,16137700
2020-07-20,97.430000,98.389999,97.260002,97.300003,89.180649,14458100
2020-07-21,97.709999,100.050003,97.639999,99.410004,91.114571,17798100
2020-07-22,99.650002,100.129997,97.529999,98.690002,90.454666,14271200
2020-07-23,98.500000,99.349998,97.970001,98.980003,90.720451,12870200
2020-07-24,99.599998,99.800003,97.940002,98.279999,90.078865,12744200
2020-07-27,97.510002,97.629997,96.169998,96.900002,88.814011,11959100
2020-07-28,96.500000,97.889999,96.500000,97.320000,89.198975,11754300
2020-07-29,97.070000,99.709999,97.000000,99.680000,91.362038,12743500
2020-07-30,97.540001,97.739998,96.050003,97.019997,88.924004,14834800
2020-07-31,96.480003,96.930000,95.250000,96.639999,88.575722,14535000
2020-08-03,97.019997,97.570000,95.849998,96.099998,88.080780,12962800
